Asset Id,Feature,Sub-Feature,Org,Direction,Route,Ramp #,Ramp ID,Lane Location,From MP/Offset,To MP/Offset,Length/Area(ft),Lat,Long
2972761,Catch Basin,Grate W/Curbopening Inlet,Happy Valley Maint,,,,,Right,,,,33.465384,-111.888999
2973153,Catch Basin,Grate W/Curbopening Inlet,Mesa,,,,,Right,,,,33.283491,-111.774744
2973154,Catch Basin,Grate W/Curbopening Inlet,Mesa,,,,,Right,,,,33.28357,-111.774482
2973795,Catch Basin,Grate W/Curbopening Inlet,University,,,,,Right,,,,33.392859,-111.967463
2973803,Catch Basin,Grate W/Curbopening Inlet,Happy Valley Maint,,,,,Right,,,,33.625034,-112.115205
2973804,Catch Basin,Grate W/Curbopening Inlet,Happy Valley Maint,,,,,Right,,,,33.712206,-112.120214
2974052,Catch Basin,Grate W/Curbopening Inlet,Durango,,,,,Right,,,,33.469388,-112.111014
2974053,Catch Basin,Grate W/Curbopening Inlet,Durango,,,,,Right,,,,33.481642,-112.111795
2974054,Catch Basin,Grate W/Curbopening Inlet,Durango,,,,,Right,,,,33.493547,-112.11225
2974360,Catch Basin,Grate W/Curbopening Inlet,Needle Mountain,,,,,Right,,,,34.464384,-114.337525
2983125,Pipe Opening Location,CMP,University,,,,,Right,,,,33.252898,-111.947374
3005254,Catch Basin,Flush,Tucson East,,,,,Median,,,,32.166694,-111.08768
3005255,Box Culvert Location (CBC),Box Culvert (CBC),Tucson East,,,,,Right,,,,32.165891,-111.09144
3005261,Catch Basin,"Median Dike, Precast",Tucson East,,,,,Median,,,,32.160865,-111.102153
3005262,Catch Basin,Flush,Tucson East,,,,,Right,,,,32.162624,-111.099154
3005733,Catch Basin,Flush,Three Points,,,,,Right,,,,32.381859,-112.872573
3005734,Catch Basin,Other,Three Points,,,,,Right,,,,32.374703,-112.866064
3005735,Catch Basin,Other,Three Points,,,,,Right,,,,32.374734,-112.866042
1004031,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,260.01,259.87,677.37,32.197245,-110.977763
1004091,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,271.71,271.61,518.29,32.094036,-110.825524
1004092,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,270.96,270.86,525.79,32.1006,-110.835976
1005222,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,261.60,261.44,854.73,32.184813,-110.958248
1005223,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.40,282.43,140.59,32.001787,-110.679451
1005224,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.43,282.38,270.76,32.001828,-110.678915
1005225,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.19,281.16,180.06,32.011522,-110.696106
1005226,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.07,280.99,396.60,32.0127,-110.697742
1005227,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.98,280.97,68.68,32.013472,-110.698803
1005228,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.90,280.83,348.36,32.014241,-110.699883
1005229,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.79,280.76,171.21,32.015258,-110.701289
1005230,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.46,279.46,281.34,32.02667,-110.717104
1005231,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.46,279.44,344.75,32.027623,-110.718388
1005232,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.29,279.29,198.32,32.040035,-110.736179
1005235,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.29,279.29,150.80,32.040321,-110.736718
1005236,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.46,279.46,164.70,32.027898,-110.718743
1005237,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.37,280.37,1132.66,32.021353,-110.709846
1005238,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.45,280.49,257.80,32.018466,-110.705844
1005239,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.13,281.17,236.50,32.012083,-110.697002
1005663,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.81,281.60,1151.36,32.004248,-110.690222
1005664,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.32,281.08,1273.66,32.009752,-110.695375
1005665,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.39,281.51,625.40,32.009045,-110.694445
1005668,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,267.29,267.26,181.67,32.131937,-110.886266
1005669,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,267.31,267.32,95.93,32.131646,-110.886214
1005670,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,267.48,267.53,257.43,32.130148,-110.883902
1005674,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,268.80,268.93,708.26,32.118782,-110.865784
1005675,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.07,270.34,1443.81,32.107853,-110.848354
1005676,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.91,270.93,143.68,32.099817,-110.8376
1005677,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.06,271.11,239.90,32.099248,-110.834691
1005678,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.25,271.19,318.85,32.097647,-110.831994
1005679,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.15,271.07,871.76,32.098516,-110.833375
1005680,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.82,270.79,161.35,32.100436,-110.838907
1005681,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,267.87,268.09,1147.58,32.126768,-110.878433
1005682,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,268.22,268.30,425.14,32.123716,-110.873696
1005683,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,269.02,269.33,1674.71,32.116864,-110.86258
1005684,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,269.46,269.43,204.11,32.11295,-110.856485
1005685,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,269.64,269.99,1804.48,32.111448,-110.854012
1005686,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,270.10,270.23,648.22,32.107588,-110.84783
1005687,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,270.43,270.47,212.98,32.104072,-110.844309
1005706,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,267.48,267.63,748.78,32.130114,-110.883764
1006191,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.57,288.55,95.98,31.986813,-110.577683
1006192,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.37,288.23,738.93,31.987251,-110.581119
1006193,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.20,288.14,320.56,31.987611,-110.583929
1006194,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.91,287.60,1661.53,31.988212,-110.588565
1006195,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.00,286.80,1081.05,31.992072,-110.603447
1006196,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.76,286.63,686.99,31.993157,-110.607303
1006197,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.45,286.36,510.74,31.99457,-110.61235
1006198,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.22,285.82,2153.17,31.99566,-110.616186
1006199,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.77,285.44,1779.98,31.997709,-110.62348
1006200,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.37,285.36,71.96,31.998746,-110.630191
1006201,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.10,285.04,349.26,31.998553,-110.634762
1006202,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.96,284.68,1521.33,31.998321,-110.637087
1006204,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.28,284.13,757.31,31.997117,-110.648708
1006205,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.89,283.82,372.12,31.99679,-110.655038
1006206,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.59,283.42,859.31,31.997487,-110.660103
1006207,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.23,282.99,1210.36,31.998712,-110.666035
1006208,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.77,282.38,2059.04,32.000234,-110.673388
1006209,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.71,281.60,578.15,32.006554,-110.689598
1006210,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.32,281.09,1222.95,32.010112,-110.694709
1006211,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.02,280.91,724.84,32.012691,-110.698804
1006212,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.62,280.51,571.80,32.016719,-110.704506
1006213,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.38,280.19,1028.54,32.018945,-110.707597
1006214,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.38,279.37,68.55,32.028142,-110.72035
1006215,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.27,279.23,232.32,32.029181,-110.721779
1006217,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,277.47,277.41,301.91,32.04523,-110.746337
1006218,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,276.73,276.54,1025.38,32.050818,-110.756594
1006219,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,276.31,276.15,863.94,32.054405,-110.7623
1006220,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,275.50,275.49,76.92,32.061418,-110.773464
1006221,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,274.75,274.65,519.97,32.06792,-110.783791
1006222,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,274.24,274.18,346.65,32.072254,-110.790685
1006223,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,273.25,273.23,100.02,32.080856,-110.804368
1006224,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,272.29,272.04,1284.22,32.089153,-110.817568
1006225,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.84,271.77,378.47,32.092967,-110.823644
1006226,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.71,271.58,713.29,32.094088,-110.825436
1006227,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.47,271.39,423.46,32.096142,-110.828708
1006228,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.31,271.14,886.18,32.097569,-110.830978
1006229,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.07,270.93,781.84,32.099659,-110.834302
1006230,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.93,270.90,149.52,32.100936,-110.83634
1006231,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.78,270.66,629.64,32.102221,-110.838389
1006232,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.60,270.54,321.63,32.103757,-110.840832
1006233,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,269.62,269.56,321.30,32.112133,-110.854104
1006235,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,269.04,269.02,113.77,32.11706,-110.862028
1006259,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.16,279.26,501.84,32.028977,-110.724034
1006260,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.40,279.41,71.07,32.026905,-110.720905
1006261,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,279.88,279.95,384.86,32.022554,-110.714396
1006262,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.29,280.43,729.21,32.019098,-110.709214
1006263,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,280.57,280.76,1015.43,32.016591,-110.705453
1006264,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.34,281.52,937.08,32.009516,-110.694849
1006265,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,281.62,281.81,1032.43,32.007031,-110.69112
1006266,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.02,282.20,918.54,32.003442,-110.685665
1006267,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.43,282.58,803.01,32.000868,-110.679412
1006268,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,282.67,282.86,977.38,31.999968,-110.675382
1006269,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.03,283.24,1086.87,31.998741,-110.669444
1006270,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.42,283.64,1168.07,31.997395,-110.662927
1006271,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,283.80,283.97,926.07,31.99626,-110.656678
1006272,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.08,284.15,376.91,31.996163,-110.65194
1006273,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.18,284.35,897.15,31.99631,-110.650232
1006275,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.58,284.64,351.22,31.996932,-110.643497
1006276,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,284.71,284.94,1225.89,31.996863,-110.641224
1006277,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.00,285.15,798.44,31.996827,-110.636402
1006278,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.34,285.39,279.40,31.997877,-110.630758
1006279,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.45,285.60,786.01,31.99799,-110.628889
1006280,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.70,285.79,479.52,31.997513,-110.624747
1006281,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,285.94,286.07,698.77,31.996428,-110.62084
1006282,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.10,286.18,438.85,31.995686,-110.618205
1006283,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.29,286.44,808.50,31.994824,-110.615146
1006284,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.52,286.56,186.87,31.993768,-110.611371
1006285,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.61,286.64,144.54,31.99336,-110.609932
1006286,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.68,286.79,563.60,31.993023,-110.608759
1006287,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,286.86,287.14,1474.84,31.992221,-110.605893
1006288,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.22,287.32,521.79,31.990585,-110.600072
1006289,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.34,287.46,603.70,31.99002,-110.598087
1006290,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.61,287.92,1635.52,31.988802,-110.593695
1006291,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.12,288.38,1391.49,31.98732,-110.585291
1006292,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.58,288.62,217.98,31.986475,-110.577488
1006293,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.58,288.57,69.09,31.986803,-110.577561
1006294,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.37,288.23,715.29,31.987256,-110.581125
1006295,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,288.20,288.13,408.66,31.987613,-110.583871
1006296,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.93,287.60,1714.49,31.988185,-110.588337
1006297,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.46,287.42,173.48,31.989987,-110.596039
1006298,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.32,287.26,336.38,31.990604,-110.59824
1006299,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,287.16,287.00,867.10,31.991318,-110.600778
1006304,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,262.34,262.35,104.35,32.178688,-110.947808
1006306,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,262.55,262.60,259.03,32.176975,-110.944798
1006307,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,262.75,262.77,88.46,32.175361,-110.941922
1006318,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.24,270.25,73.85,32.106474,-110.845883
1006319,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.58,270.70,661.36,32.103579,-110.841279
1006320,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,270.81,270.87,307.31,32.101455,-110.838165
1006321,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,271.93,272.21,1483.64,32.091903,-110.822691
1006322,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,272.99,273.00,75.59,32.082694,-110.808211
1006323,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,273.03,273.28,1327.30,32.082263,-110.807347
1006324,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,273.29,273.55,1335.82,32.079892,-110.803792
1006325,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,273.58,274.08,2508.84,32.077509,-110.799792
1006326,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,274.20,274.37,875.52,32.072311,-110.791517
1006327,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,274.59,274.82,1182.78,32.068947,-110.78617
1006328,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,275.09,275.32,1208.24,32.064663,-110.779357
1006330,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,275.48,275.63,770.41,32.061272,-110.773941
1006331,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,275.67,275.71,204.00,32.059586,-110.771502
1006332,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,275.92,276.24,1692.94,32.057492,-110.767939
1006333,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Right,276.54,276.72,982.73,32.052175,-110.759497
1006370,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,279.85,279.94,434.36,32.022879,-110.714705
1006371,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,280.23,280.43,1076.54,32.01973,-110.70998
1006372,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,280.60,280.70,505.38,32.016408,-110.704997
1006373,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,282.41,282.57,858.93,32.001041,-110.679691
1006374,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,282.69,282.80,562.14,31.999986,-110.675024
1006375,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,282.82,282.85,155.04,31.999556,-110.672936
1006376,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.00,283.23,1176.86,31.998912,-110.669845
1006377,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.40,283.64,1258.52,31.997552,-110.66325
1006378,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.79,283.98,1003.06,31.996352,-110.656825
1006379,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.08,284.13,239.28,31.99625,-110.651862
1006380,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.17,284.26,505.53,31.996373,-110.65047
1006381,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.58,284.62,225.03,31.997014,-110.643441
1006382,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.74,284.95,1101.97,31.996907,-110.640685
1006383,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.00,285.13,695.63,31.996913,-110.63642
1006384,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.37,285.38,52.18,31.997999,-110.630298
1006385,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.49,285.57,385.89,31.998059,-110.628133
1006386,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.68,285.77,480.22,31.997662,-110.625019
1006387,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.84,286.05,1094.85,31.996953,-110.622387
1006388,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.12,286.17,272.38,31.995669,-110.617818
1006389,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.33,286.50,877.56,31.994712,-110.614416
1006390,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.58,286.78,1050.89,31.993591,-110.610438
1006391,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.85,286.99,723.87,31.992338,-110.605995
1006392,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.01,287.07,292.70,31.991618,-110.603425
1006393,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.10,287.15,274.97,31.991218,-110.602011
1006394,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.22,287.31,490.34,31.990664,-110.600042
1006395,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.39,287.47,429.10,31.989913,-110.597375
1006396,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.60,287.91,1650.88,31.988959,-110.593973
1006397,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,288.11,288.38,1448.43,31.987413,-110.585503
1006398,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,288.58,288.63,258.00,31.986563,-110.577503
1006399,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,288.39,288.10,1522.44,31.987109,-110.580711
1006400,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.92,287.61,1662.61,31.988098,-110.588431
1006401,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.44,287.41,142.04,31.989963,-110.596307
1006402,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.32,287.23,473.35,31.990536,-110.598341
1006403,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,287.17,286.67,2668.61,31.991216,-110.600753
1006404,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.45,286.35,568.50,31.994479,-110.612348
1006405,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,286.19,285.83,1925.99,31.995704,-110.616682
1006406,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.79,285.43,1863.09,31.99755,-110.623256
1006407,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,285.12,285.03,461.11,31.998501,-110.634475
1006408,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.98,284.59,2031.58,31.998256,-110.63685
1006409,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,284.29,284.08,1151.95,31.997059,-110.648405
1006410,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.98,283.91,362.62,31.996667,-110.653472
1006411,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.88,283.80,420.34,31.996712,-110.65521
1006412,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.66,283.42,1279.32,31.997148,-110.658875
1006413,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,283.23,282.98,1232.21,31.99863,-110.666074
1006414,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,282.83,282.40,2249.27,31.999967,-110.672544
1006415,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,280.66,280.52,774.87,32.016211,-110.703955
1006416,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,280.41,280.19,1169.11,32.018598,-110.707256
1006417,Roadway Cut Ditches,Unpaved Cut Ditch,Tucson West,,I-10,,,Left,279.80,279.63,914.41,32.024151,-110.714959
1007133,Roadway Cut Ditches,Unpaved Cut Ditch,Willcox,,I-10,,,Right,323.24,323.49,1360.32,32.086225,-110.042625
1010634,Roadway Cut Ditches,Unpaved Cut Ditch,Tonopah,,I-10,,,Right,112.49,112.50,37.79,33.428092,-112.630387
